"","ID","Warehouse_block","Mode_of_Shipment","Customer_care_calls","Customer_rating","Cost_of_the_Product","Prior_purchases","Product_importance","Gender","Discount_offered","Weight_in_gms","Reached.on.Time_Y.N"
"113",113,"3","1",4,3,175,2,"1","1",25,1816,1
"114",114,"5","1",3,2,263,3,"1","1",41,2817,1
"115",115,"4","1",3,5,168,2,"3","1",50,1616,1
"116",116,"5","1",3,4,176,3,"3","1",36,1779,1
"117",117,"1","1",4,1,150,4,"3","1",60,1024,1
"118",118,"2","1",4,3,265,2,"2","2",31,2326,1
"119",119,"3","1",2,5,263,3,"1","2",5,2947,1
"120",120,"5","1",5,1,145,3,"1","1",20,1387,1
"121",121,"4","1",4,2,183,3,"1","2",33,2741,1
"122",122,"5","1",3,3,205,3,"2","2",19,2167,1
"123",123,"1","1",4,2,160,3,"1","1",64,1714,1
"124",124,"2","1",3,3,252,2,"2","2",48,2102,1
"125",125,"3","1",5,5,222,3,"1","1",10,2280,1
"126",126,"5","1",3,3,203,2,"1","1",25,3607,1
"127",127,"4","1",4,5,220,3,"2","1",40,3516,1
"128",128,"5","1",3,3,147,4,"1","2",60,1722,1
"129",129,"1","1",4,4,200,4,"2","1",16,2060,1
"130",130,"2","1",4,5,224,4,"2","1",21,2026,1
"131",131,"3","1",3,5,179,2,"1","2",17,1364,1
"132",132,"5","1",3,4,144,3,"1","1",50,1865,1
"133",133,"4","3",5,2,247,3,"1","1",17,3889,1
"134",134,"5","3",5,4,280,6,"2","2",51,3582,1
"135",135,"1","3",3,3,168,2,"2","2",1,1829,1
"136",136,"2","3",3,5,157,3,"2","2",4,1889,1
"137",137,"3","3",3,3,189,4,"2","2",51,2208,1
"138",138,"5","3",3,5,162,2,"2","1",7,1739,1
"139",139,"4","3",4,1,207,5,"1","1",48,2399,1
"140",140,"5","3",5,1,237,2,"1","2",10,3860,1
"141",141,"1","3",4,4,264,3,"3","1",59,2020,1
"142",142,"2","3",5,4,149,3,"1","1",51,1645,1
"143",143,"3","3",5,5,162,3,"1","1",41,1462,1
"144",144,"5","3",2,1,205,4,"2","2",63,2156,1
"145",145,"4","3",2,1,158,3,"2","2",51,1540,1
"146",146,"5","3",2,2,248,2,"1","1",46,3707,1
"147",147,"1","3",3,5,191,3,"1","1",23,3750,1
"148",148,"2","3",4,3,146,4,"2","2",24,1844,1
"149",149,"3","3",3,3,135,3,"1","1",56,1490,1
"150",150,"5","3",5,1,149,3,"1","1",40,1062,1
"151",151,"4","3",4,4,220,2,"2","2",7,2551,1
"152",152,"5","3",5,3,98,5,"2","1",44,1269,1
"153",153,"1","3",3,4,97,4,"1","1",32,1238,1
"154",154,"2","3",3,3,183,2,"1","1",53,3932,1
"155",155,"3","2",3,3,162,3,"2","2",8,1869,1
"156",156,"5","2",5,1,114,4,"1","2",47,1443,1
"157",157,"4","2",6,3,275,5,"1","1",41,2491,1
"158",158,"5","2",3,2,203,2,"2","2",39,3845,1
"159",159,"1","2",5,5,205,2,"3","1",65,3671,1
"160",160,"2","2",3,3,149,3,"1","2",63,1946,1
"161",161,"3","2",2,2,112,4,"2","1",56,1138,1
"162",162,"5","2",3,1,207,3,"2","2",56,3482,1
"163",163,"4","2",4,1,261,4,"1","2",58,3427,1
"164",164,"5","2",5,2,274,3,"2","1",6,3375,1
"165",165,"1","2",3,5,141,2,"1","1",52,1692,1
"166",166,"2","2",3,3,166,4,"2","2",17,1498,1
"167",167,"3","2",5,2,141,3,"3","2",34,1020,1
"168",168,"5","2",4,5,152,3,"1","1",43,1709,1
"169",169,"4","2",4,2,250,3,"1","2",53,2478,1
"170",170,"5","2",4,3,161,3,"2","2",28,1809,1
"171",171,"1","2",4,3,185,3,"2","2",10,2263,1
"172",172,"2","2",4,4,176,4,"3","2",52,1096,1
"173",173,"3","2",3,4,148,3,"1","1",56,1550,1
"174",174,"5","2",3,2,270,3,"1","2",63,2751,1
"175",175,"4","2",3,3,242,3,"1","2",51,3935,1
"176",176,"5","2",4,4,150,2,"2","1",3,1285,1
"177",177,"1","2",4,5,192,3,"3","1",20,3872,1
"178",178,"2","2",4,5,116,3,"2","1",54,1314,1
"179",179,"3","2",3,3,192,3,"2","2",2,3995,1
"180",180,"5","2",5,5,255,4,"2","1",3,3440,1
"181",181,"4","2",4,1,161,7,"2","2",18,1294,1
"182",182,"5","2",4,5,157,3,"1","1",20,1487,1
"183",183,"1","2",3,2,164,10,"3","2",28,1940,1
"184",184,"2","2",3,5,162,7,"2","2",16,1052,1
"185",185,"3","2",3,3,146,2,"1","1",50,1486,1
"186",186,"5","2",3,2,209,3,"2","1",54,3001,1
"187",187,"4","2",5,4,134,2,"2","2",55,1386,1
"188",188,"5","2",2,1,222,2,"2","1",5,3778,1
"189",189,"1","2",2,5,139,3,"1","2",27,1233,1
"190",190,"2","2",2,4,134,3,"1","2",42,1415,1
"191",191,"3","2",2,5,130,3,"1","1",16,1092,1
"192",192,"5","2",2,5,133,3,"1","2",62,1596,1
"193",193,"4","2",2,4,140,3,"1","2",7,1411,1
"194",194,"5","2",2,2,158,3,"1","1",28,1968,1
"195",195,"1","2",4,2,270,4,"1","2",46,1736,1
"196",196,"2","2",2,5,140,3,"1","2",30,1030,1
"197",197,"3","2",2,2,135,3,"1","1",15,1339,1
"198",198,"5","2",2,3,136,3,"1","2",19,1568,1
"199",199,"4","2",2,3,142,3,"2","2",38,7640,1
"200",200,"5","2",2,2,154,3,"2","1",38,7846,1
"201",201,"1","2",2,3,139,3,"1","1",9,1471,1
"202",202,"2","2",2,3,160,3,"1","2",43,1251,1
"203",203,"3","2",2,4,134,3,"1","1",58,1067,1
"204",204,"5","2",5,3,161,5,"3","1",48,1883,1
"205",205,"4","2",2,5,155,3,"1","1",23,1602,1
"206",206,"5","2",2,3,145,3,"2","2",24,7588,1
"207",207,"1","2",2,2,157,3,"1","1",1,1477,1
"208",208,"2","2",2,2,160,3,"1","1",48,1691,1
"209",209,"3","2",2,4,152,3,"1","1",55,1498,1
"210",210,"5","2",2,5,148,3,"3","2",11,1502,1
"211",211,"4","2",2,1,127,3,"1","2",15,1522,1
"212",212,"5","2",2,5,154,3,"1","2",21,1113,1
"213",213,"1","2",2,5,127,3,"1","1",44,1341,1
"214",214,"2","2",2,5,160,3,"2","2",31,7401,1
"215",215,"3","2",2,4,129,3,"1","2",48,1219,1
"216",216,"5","2",2,5,158,3,"1","2",40,1722,1
"217",217,"4","2",4,3,185,3,"2","1",3,3131,1
"218",218,"5","2",4,4,176,4,"3","2",63,1293,1
"219",219,"1","2",3,4,148,3,"1","1",37,1523,1
"220",220,"2","2",3,5,270,3,"1","1",60,3885,1
"221",221,"3","2",3,4,242,3,"1","1",29,2381,1
"222",222,"5","2",4,3,150,2,"2","1",31,1588,1
"223",223,"4","2",4,2,192,3,"3","1",4,2061,1
"224",224,"5","2",4,5,116,3,"2","2",9,1314,1
"225",225,"1","2",3,4,192,3,"2","2",31,3331,1
"226",226,"2","2",5,4,255,4,"2","2",38,2771,1
"227",227,"3","2",4,3,161,7,"2","1",63,1496,1
"228",228,"5","2",4,2,157,3,"1","2",48,1393,1
"229",229,"4","2",3,2,164,10,"3","1",14,1375,1
"230",230,"5","2",3,3,162,7,"2","2",42,1278,1
"231",231,"1","2",3,1,146,2,"1","2",54,1528,1
"232",232,"2","2",3,4,209,3,"2","2",60,2240,1
"233",233,"3","2",5,5,134,2,"2","1",53,1088,1
"234",234,"5","2",2,1,222,2,"2","1",58,3626,1
"235",235,"4","2",2,1,139,3,"1","2",39,1582,1
"236",236,"5","2",2,2,134,3,"1","1",38,1352,1
"237",237,"1","2",2,3,130,3,"1","2",48,1801,1
"238",238,"2","2",2,2,133,3,"1","1",5,1268,1
"239",239,"3","2",2,3,140,3,"1","2",23,1372,1
"240",240,"5","2",2,3,158,3,"1","1",10,1515,1
"241",241,"4","2",4,5,270,4,"1","1",65,1818,1
"242",242,"5","2",2,4,140,3,"1","2",33,1278,1
"243",243,"1","2",2,2,135,3,"1","1",58,1734,1
"244",244,"2","2",2,4,136,3,"1","1",43,1958,1
"245",245,"3","2",2,1,142,3,"2","2",8,6064,1
"246",246,"5","2",2,4,154,3,"2","2",48,7684,1
"247",247,"4","2",2,3,139,3,"1","2",3,1788,1
"248",248,"5","1",2,4,160,3,"1","2",50,1030,1
"249",249,"1","1",2,2,134,3,"1","2",38,1530,1
"250",250,"2","1",5,5,161,5,"3","2",54,1511,1
"251",251,"3","1",2,3,155,3,"1","2",45,1639,1
"252",252,"5","1",2,2,145,3,"2","2",5,6102,1
"253",253,"4","1",2,1,157,3,"1","1",58,1930,1
"254",254,"5","1",2,5,160,3,"1","2",19,1399,1
"255",255,"1","1",2,2,152,3,"1","2",61,1800,1
"256",256,"2","1",2,2,148,3,"3","2",35,1349,1
"257",257,"3","1",2,2,127,3,"1","1",13,1128,1
"258",258,"5","1",2,2,129,3,"2","2",22,6614,1
"259",259,"4","1",2,3,158,3,"1","2",13,1245,1
"260",260,"5","1",2,4,147,3,"1","1",5,1920,1
"261",261,"1","1",2,5,159,3,"1","2",49,1621,1
"262",262,"2","1",2,3,151,3,"1","2",23,1930,1
"263",263,"3","1",3,1,294,4,"1","2",52,1089,1
"264",264,"5","1",3,2,226,2,"2","1",45,1446,1
"265",265,"4","1",5,3,271,5,"3","1",9,1813,1
"266",266,"5","1",7,2,203,5,"2","2",61,1856,1
"267",267,"1","1",2,3,264,4,"1","2",10,1648,1
"268",268,"2","1",4,1,258,3,"2","1",36,2211,1
"269",269,"3","1",3,5,241,3,"1","2",21,3078,1
"270",270,"5","3",4,5,208,3,"2","1",23,2056,1
"271",271,"4","3",3,2,209,5,"2","2",12,3054,1
"272",272,"5","3",5,1,182,2,"2","2",23,2707,1
"273",273,"1","3",4,5,148,2,"2","2",43,1087,1
"274",274,"2","3",2,3,183,2,"2","2",52,3199,1
"275",275,"3","3",3,5,229,6,"2","1",22,2717,1
"276",276,"5","3",5,5,115,5,"1","2",26,1692,1
"277",277,"4","3",4,2,136,3,"1","2",65,1962,1
"278",278,"5","3",4,4,212,3,"1","1",21,3307,1
"279",279,"1","3",4,3,171,3,"1","2",24,1304,1
"280",280,"2","3",3,1,151,2,"1","1",60,1925,1
"281",281,"3","3",3,1,205,3,"2","1",39,3062,1
"282",282,"5","3",5,4,147,3,"2","1",23,1132,1
"283",283,"4","3",3,3,155,3,"1","2",29,1712,1
"284",284,"5","3",5,4,165,3,"1","2",20,1150,1
"285",285,"1","3",5,5,230,3,"1","2",32,3249,1
"286",286,"2","3",2,4,181,4,"2","1",13,2309,1
"287",287,"3","3",5,3,234,2,"1","2",55,3308,1
"288",288,"5","3",4,4,149,3,"1","1",34,1977,1
"289",289,"4","3",5,5,156,2,"1","1",44,1561,1
"290",290,"5","3",4,2,172,3,"2","2",59,1858,1
"291",291,"1","3",4,4,270,3,"1","1",12,3279,1
"292",292,"2","2",4,1,206,3,"2","1",23,3807,1
"293",293,"3","2",4,3,211,4,"2","1",40,3106,1
"294",294,"5","2",3,2,136,4,"1","1",62,1090,1
"295",295,"4","2",5,1,186,2,"3","2",52,3981,1
"296",296,"5","2",3,1,202,2,"2","1",62,3398,1
"297",297,"1","2",4,2,183,3,"2","2",12,3646,1
"298",298,"2","2",4,4,232,2,"1","1",36,2861,1
"299",299,"3","2",4,2,147,4,"2","1",52,1129,1
"300",300,"5","2",4,3,136,3,"2","1",20,1531,1
"301",301,"4","2",5,3,127,3,"1","2",43,1446,1
"302",302,"5","2",4,5,202,2,"2","1",35,3695,1
"303",303,"1","2",3,4,241,2,"1","1",57,3671,1
"304",304,"2","2",4,3,222,2,"2","1",55,3833,1
"305",305,"3","2",3,2,183,4,"2","2",12,2777,1
"306",306,"5","2",4,4,249,3,"2","2",36,3769,1
"307",307,"4","2",3,1,243,4,"3","1",59,3838,1
"308",308,"5","2",3,3,163,3,"2","1",9,1257,1
"309",309,"1","2",4,2,165,2,"3","1",11,1596,1
"310",310,"2","2",5,5,266,3,"2","2",53,3089,1
"311",311,"3","2",3,4,193,2,"2","1",48,3909,1
"312",312,"5","2",3,2,154,3,"1","2",56,1136,1
"313",313,"4","2",3,3,140,3,"2","1",51,1046,1
"314",314,"5","2",4,3,272,3,"2","1",38,3705,1
"315",315,"1","2",4,2,143,6,"2","1",20,1654,1
"316",316,"2","2",4,2,138,3,"1","2",30,1805,1
"317",317,"3","2",4,2,238,2,"3","1",17,3358,1
"318",318,"5","2",4,5,273,4,"2","2",31,2373,1
"319",319,"4","2",3,1,200,2,"2","1",27,2551,1
"320",320,"5","2",4,5,213,4,"1","1",39,2381,1
"321",321,"1","2",3,4,224,2,"2","2",15,2701,1
"322",322,"2","2",4,5,141,3,"2","1",12,1672,1
"323",323,"3","2",3,3,150,3,"1","1",46,1040,1
"324",324,"5","2",3,1,192,2,"1","1",33,2818,1
"325",325,"4","2",5,1,279,4,"2","2",24,3440,1
"326",326,"5","2",3,4,246,3,"2","1",30,3748,1
"327",327,"1","2",3,4,173,3,"2","1",52,1587,1
"328",328,"2","2",4,4,233,4,"2","2",59,2358,1
"329",329,"3","2",5,1,274,2,"2","1",24,2423,1
"330",330,"5","2",4,5,243,4,"2","2",41,2782,1
"331",331,"4","2",3,4,197,3,"2","2",56,3427,1
"332",332,"5","2",4,3,140,3,"3","2",46,1072,1
"333",333,"1","2",3,5,215,3,"2","2",22,2585,1
"334",334,"2","2",3,4,211,3,"2","1",8,3710,1
"335",335,"3","2",4,2,220,5,"1","1",33,2854,1
"336",336,"5","2",3,1,194,4,"1","1",64,2026,1
"337",337,"4","2",5,1,262,3,"2","2",58,3599,1
"338",338,"5","2",4,4,201,2,"1","2",1,3147,1
"339",339,"1","2",3,5,261,3,"2","1",15,2989,1
"340",340,"2","2",4,4,191,6,"1","2",60,3425,1
"341",341,"3","2",2,5,255,5,"2","2",53,3775,1
"342",342,"5","2",3,2,169,2,"3","1",30,1698,1
"343",343,"4","2",4,5,162,2,"2","1",64,1918,1
"344",344,"5","2",2,5,248,6,"1","2",62,2750,1
"345",345,"1","2",5,3,197,4,"1","2",2,2222,1
"346",346,"2","2",5,1,264,3,"1","1",6,2882,1
"347",347,"3","2",5,5,260,2,"2","2",55,2791,1
"348",348,"5","2",5,3,186,2,"2","2",58,2259,1
"349",349,"4","2",4,5,233,4,"1","2",44,2551,1
"350",350,"5","2",5,1,161,3,"1","1",47,1954,1
"351",351,"1","2",4,5,188,3,"1","2",13,2409,1
"352",352,"2","2",5,5,171,2,"2","2",22,1695,1
"353",353,"3","2",2,2,267,3,"2","1",15,2481,1
"354",354,"5","2",4,3,255,2,"3","1",47,2956,1
"355",355,"4","2",3,2,132,3,"1","2",56,1303,1
"356",356,"5","2",5,1,266,3,"1","2",31,3157,1
"357",357,"1","2",3,4,198,2,"1","1",25,2774,1
"358",358,"2","2",2,3,247,2,"2","2",62,3127,1
"359",359,"3","2",3,1,140,3,"2","2",65,1291,1
"360",360,"5","2",4,3,131,5,"1","1",6,1659,1
"361",361,"4","2",5,2,246,3,"2","1",49,3236,1
"362",362,"5","2",3,2,159,3,"2","2",4,1681,1
"363",363,"1","2",3,5,203,2,"2","1",61,3642,1
"364",364,"2","2",4,3,187,4,"3","2",29,3141,1
"365",365,"3","2",6,2,146,3,"1","2",62,1936,1
"366",366,"5","2",3,2,234,3,"2","1",39,2099,1
"367",367,"4","2",3,4,122,3,"3","2",15,1354,1
"368",368,"5","2",3,3,135,3,"1","1",8,1074,1
"369",369,"1","2",3,5,103,3,"1","1",3,1403,1
"370",370,"2","2",3,5,257,3,"2","2",19,2173,1
"371",371,"3","2",4,3,169,2,"1","1",2,1399,1
"372",372,"5","2",4,5,159,3,"2","1",18,1808,1
"373",373,"4","2",4,5,188,3,"1","1",38,3031,1
"374",374,"5","2",5,1,136,3,"2","1",19,1420,1
"375",375,"1","2",5,1,227,3,"1","2",19,3007,1
"376",376,"2","2",3,5,262,2,"1","2",53,3275,1
"377",377,"3","2",2,3,157,2,"1","1",45,1965,1
"378",378,"5","2",5,3,238,2,"2","2",21,2053,1
"379",379,"4","2",3,5,152,3,"1","1",43,1282,1
"380",380,"5","2",3,2,201,3,"2","1",5,2040,1
"381",381,"1","2",3,4,148,2,"1","1",54,1778,1
"382",382,"2","2",5,2,199,4,"1","2",59,2885,1
"383",383,"3","2",5,4,215,2,"1","2",45,3501,1
"384",384,"5","2",4,5,175,2,"1","1",40,1270,1
"385",385,"4","1",4,3,236,2,"3","1",23,3123,1
"386",386,"5","1",2,5,182,2,"2","2",57,2896,1
"387",387,"1","1",3,1,251,3,"2","1",42,3698,1
"388",388,"2","1",5,2,173,3,"1","2",7,1855,1
"389",389,"3","1",4,3,225,3,"1","2",62,2587,1
"390",390,"5","1",4,2,167,4,"1","2",20,1705,1
"391",391,"4","1",4,1,259,3,"1","1",20,2154,1
"392",392,"5","1",4,1,178,3,"2","2",63,1573,1
"393",393,"1","1",4,4,178,4,"2","2",13,1614,1
"394",394,"2","1",5,4,169,2,"1","2",20,1765,1
"395",395,"3","1",3,2,272,2,"1","1",33,2321,1
"396",396,"5","1",4,4,183,3,"1","1",29,3251,1
"397",397,"4","1",3,4,205,3,"1","2",10,2728,1
"398",398,"5","1",2,1,123,4,"1","2",53,1036,1
"399",399,"1","1",4,3,152,3,"1","1",58,1453,1
"400",400,"2","1",3,1,220,2,"3","2",40,3773,1
"401",401,"3","1",4,3,134,3,"1","1",51,1965,1
"402",402,"5","1",3,2,217,2,"3","1",19,2992,1
"403",403,"4","1",3,2,265,3,"1","2",49,2791,1
"404",404,"5","1",4,2,249,5,"2","1",36,3836,1
"405",405,"1","1",5,3,213,4,"2","2",50,2003,1
"406",406,"2","1",2,2,124,3,"1","2",56,1494,1
"407",407,"3","3",4,1,180,2,"1","1",23,1193,1
"408",408,"5","3",4,5,193,3,"2","1",65,2267,1
"409",409,"4","3",3,2,192,3,"2","1",43,3339,1
"410",410,"5","3",2,5,166,3,"2","1",3,1832,1
"411",411,"1","3",3,2,264,3,"2","1",5,3861,1
"412",412,"2","3",3,4,200,2,"2","1",14,3528,1
"413",413,"3","3",4,3,142,4,"2","1",12,1396,1
"414",414,"5","3",4,1,215,2,"1","1",32,3066,1
"415",415,"4","3",2,1,218,2,"1","1",15,2745,1
"416",416,"5","3",3,2,115,3,"1","2",27,1814,1
"417",417,"1","3",4,3,159,3,"1","1",33,1330,1
"418",418,"2","3",5,5,133,3,"1","1",63,1218,1
"419",419,"3","3",5,2,178,3,"1","1",48,1517,1
"420",420,"5","3",4,2,134,2,"1","2",43,1714,1
"421",421,"4","3",3,1,184,5,"2","2",58,2544,1
"422",422,"5","3",4,2,251,2,"2","1",24,2405,1
"423",423,"1","3",3,2,141,3,"1","1",7,1933,1
"424",424,"2","3",4,4,229,2,"2","1",45,3776,1
"425",425,"3","3",4,1,203,4,"1","1",34,3813,1
"426",426,"5","3",4,3,158,3,"2","2",57,1911,1
"427",427,"4","3",3,4,167,3,"2","1",52,1755,1
"428",428,"5","3",5,4,197,4,"1","2",40,3303,1
"429",429,"1","2",2,2,140,3,"1","2",19,1806,1
"430",430,"2","2",5,1,205,2,"2","1",27,3569,1
"431",431,"3","2",5,5,208,3,"1","2",45,2018,1
"432",432,"5","2",4,2,96,3,"1","1",22,1294,1
"433",433,"4","2",6,4,205,3,"1","2",44,2064,1
"434",434,"5","2",4,2,215,3,"2","2",48,2953,1
"435",435,"1","2",4,1,216,3,"1","2",43,2643,1
"436",436,"2","2",3,1,112,2,"3","1",22,1846,1
"437",437,"3","2",5,4,222,3,"1","2",20,3632,1
"438",438,"5","2",5,2,186,3,"2","2",15,2153,1
"439",439,"4","2",3,5,241,3,"2","1",48,2841,1
"440",440,"5","2",3,3,172,3,"1","2",58,1269,1
"441",441,"1","2",3,5,251,2,"3","1",23,2426,1
"442",442,"2","2",5,3,190,3,"3","1",45,2628,1
"443",443,"3","2",4,3,186,2,"2","2",48,2805,1
"444",444,"5","2",4,4,207,2,"2","1",35,2596,1
"445",445,"4","2",3,3,135,3,"1","2",19,1366,1
"446",446,"5","2",4,4,189,2,"2","2",18,2955,1
"447",447,"1","2",4,4,173,5,"2","2",51,1691,1
"448",448,"2","2",3,4,194,3,"2","1",3,2169,1
"449",449,"3","2",3,1,183,3,"1","1",19,3018,1
"450",450,"5","2",4,3,140,2,"1","2",22,1248,1
"451",451,"4","2",4,4,244,3,"2","2",55,2782,1
"452",452,"5","2",2,3,189,4,"1","1",34,3355,1
"453",453,"1","2",3,2,157,2,"2","1",53,1390,1
"454",454,"2","2",4,1,275,10,"2","2",23,2726,1
"455",455,"3","2",4,5,133,3,"1","2",53,1467,1
"456",456,"5","2",4,1,149,3,"2","1",54,1178,1
"457",457,"4","2",3,3,254,2,"3","1",17,3153,1
"458",458,"5","2",3,4,145,8,"1","2",15,1429,1
"459",459,"1","2",3,2,179,5,"1","2",52,1991,1
"460",460,"2","2",5,2,168,3,"1","1",26,1526,1
